community,country,text,labels
immigrant,ke,"""Jan-Thijs emphasises that InCampagna is more than just a growers network that supplies produce . """" Mutual , local support is what sets up apart . In order to help immigrants and refugees integrate , the cooperative offers them to training opportunities to get started with cultivation . Andrea is working hard to get a local forest that has all but disappeared , replanted . This was caused by bad landscape management and forest fires . It must be done in order to prevent soil erosion and promote biodiversity """" , says Jan-Thijs .""",0
in-need,pk,"It is a tough job to find the perfect moisturizer for your skin , however it is an important part of one 's skincare routine . I 'm not saying that it 's all you need to apply on your face and make your skin used to it , but every now and then your skin needs to be nourished . Get a moisturizer which is suitable for your skin type ( dry , normal , combination or oily ) and make sure it is hypoallergenic so you do n't get any side effects . <h> Lukewarm water over hot water on skin",0
refugee,in,"But do n't forget as the title subtly but unmistakably reminds us , Sudani From Nigeria is all about our fractured identities . In an African nation torn by civil war football is the only passport to a better life for antsy youngsters . Many make it but more fall by the wayside . The African presence in Indian football goes a long way ( remember the Kenyan , Chima Okorie ? ) and in the past two decades , the engine of Kerala football , the sevens soccer , has hummed to the footfalls of African students and youngsters . It is awfully surprising that it took all this while to have a peep into that dark secret of what makes them football refugees .",1
disabled,in,"""The World Health Organisation will classify you as """" disabled """" if you fail to find """" a suitable sexual partner """" , according to reports . Before you decide to feel enraged , read the full story and see for yourself if it is all for a good cause . <h> Main News""",0
migrant,lk,"Charlie Hebdo is never out of ideas to stoke up the flames of racism , bigotry , intolerance and hatred . Remember Aylan Kurdi , the two-year-old , whose picture lying face down on a beach in Turkey caused an international outcry over the human cost of the migrant crisis ?",0
homeless,sg,""""""" I would request the Lieutenant Governor to take some serious action against DDA officials for showing such inhuman behaviour by demolishing the shelter home of homeless people , """" Rai told ANI .""",0
homeless,tz,"More than 5,000 residents of Buguruni kwa Mnyamani area in Dar es Salaam have been rendered homeless following floods caused by three days of heavy downpour .",0
immigrant,lk,"Immigration rules were not watertight to stop excessive numbers coming in to Britain claiming Child Benefit for every child of immigrant parents born in Britain and even medical abortions paid for on National Health were allowed , until it became unacceptable .",0
hopeless,pk,"Remarkable too are the ways in which a childhood spent in Pakistan forced one to dispense with fatalistic views of the world and hopeless imaginations of the future . Lifetimes are spent under skies dotted with flying bullets , with threats to kidnap loved ones , and in the thick of crowded markets that unexpectedly explode . Even amid the looming dangers , we knew there were other lives to be lived . And so we went on , fiercely living -- despite the noise in the background .",1
in-need,lk,""""""" The government is in need to gain income in terms of taxes by establishing private medical universities . They are least concerned about the quality of the education which would be offered from such universities , """" he said .""",0
refugee,au,"At the moment , there are more refugees and displaced people globally than at any other time since World War II - 65.5 million according to UNHCR .",0
refugee,sg,"The following day , Jordan says it will not be able to host a new wave of Syrian refugees and that the countries ' shared border will remain closed .",0
hopeless,us,"Then , in order to plump up the political content , they send in a guy to talk about the topic of the day , so that at least the employees have a little background on the topic . But the guy himself has an extremely low level of understanding , so it all looks completely absurd . Incidentally , they gave us a test on ideology , with 15 or 20 questions you need to answer . Anyone who makes a couple of mistakes has to retake it . But anyone who 's simply hopeless just gets fired .",0
in-need,za,"Last year , TFG trainees at its Prestige Factory in Maitland and Caledon produced 40 000 blankets -- double the number produced in 2015 -- which were distributed to communities in need , as well as those struck by disaster . This year , the programme will again produce 40 000 blankets for the country 's most vulnerable , and the initiative will further be extended to create a range of children 's hoodies .",0
